component_id,コンポーネント名,種類,目的,使用画面,層,ユーザー,仕様メモ,API要否,通知要否
CMP-001,Primaryボタン,基本UI,主要アクションの実行,すべて,全層,A/B,青色Strong CTA,不要,不要
CMP-002,Secondaryボタン,基本UI,補助アクションの実行,すべて,全層,A/B,灰色の補助ボタン,不要,不要
CMP-003,CTAボタン（LP）,基本UI,LPで申込/予約を促す,紹介LP,非ログイン,A/B,強調的デザイン,不要,不要
CMP-004,入力フィールド（テキスト）,基本UI,フォーム入力,申込フォーム,非ログイン,B,汎用フィールド,不要,不要
CMP-005,メール入力フィールド,基本UI,メール起点の本人性担保,MagicLinkログイン,ログイン,A/B,バリデーション必須,不要,不要
CMP-006,電話番号入力フィールド,基本UI,SMS認証用の入力,SMSログイン,ログイン,A/B,数字のみ入力,不要,不要
CMP-007,ワンタイムコード入力,基本UI,SMS/Email認証コード入力,MagicLink/SMSログイン,ログイン,A/B,6桁コード入力UI,不要,不要
CMP-008,Progressバー,基本UI,進捗の表示,成果可視化,ログイン,A,%表示に対応,不要,不要
CMP-009,モーダル（確認）,基本UI,操作前の確認,各画面,全層,A/B,確認/キャンセルの2ボタン形式,不要,不要
CMP-010,バッジUI,基本UI,達成状態を可視化,称号UX,ログイン,A,獲得/未獲得の2状態表示,不要,不要
,,,,,,,,,
CMP-101,紹介LPカード,カードUI,紹介訴求をまとめる,紹介LP,非ログイン,A/B,タイトル/画像/CTA構造,不要,不要
CMP-102,成果カード,カードUI,紹介成果を可視化,成果可視化画面,ログイン,A,件数/日付のカード表示,必要,不要
CMP-103,特典カード,カードUI,特典の内容と反映を表示,特典反映画面,非ログイン,B,反映済/未反映ステート,必要,通知
CMP-104,報酬カード,カードUI,A側の報酬を表示,報酬履歴,ログイン,A,金額/ステータス表示,必要,不要
CMP-105,称号カード,カードUI,Aの貢献度を可視化,称号UX,ログイン,A,バッジ画像と説明,不要,不要
CMP-106,再紹介リンクカード,カードUI,再紹介URL提示,再紹介リンク発行画面,ログイン,A/B,URLコピー/SNSボタン付き,不要,不要
CMP-107,利用履歴カード,カードUI,Bの利用履歴表示,利用履歴画面,ログイン,B,リスト形式でスクロール表示,必要,不要
CMP-108,ギフト受取カード,カードUI,ギフトコード表示,ギフト受取画面,ログイン,A/B,バーコード/コピーUI,必要,不要
,,,,,,,,,
CMP-201,LINE通知テンプレ,通知UI,LINEで成果/特典を通知,LINE通知,全層,A/B,テキスト＋CTAリンク,不要,必要
CMP-202,Email通知テンプレ,通知UI,Emailで成果/特典を通知,Email通知,全層,A/B,タイトル＋本文＋CTA,不要,必要
CMP-203,SMS通知テンプレ,通知UI,SMSで成果/特典を通知,SMS通知,全層,A/B,短文/URL付き,不要,必要
CMP-204,Push通知テンプレ,通知UI,アプリPush通知,Push通知,ログイン,A/B,短文/ディープリンク,不要,必要
CMP-205,成果通知テンプレ,通知UI,成果をAに通知,成果通知,全層,A,4チャネル分岐対応,不要,必要
CMP-206,特典反映通知テンプレ,通知UI,特典反映を通知,特典反映通知,全層,A/B,反映/未反映文言,不要,必要
CMP-207,感謝通知テンプレ,通知UI,感謝+再紹介促進,感謝通知,全層,A,SNS共有導線つき,不要,必要
,,,,,,,,,
CMP-301,再紹介ボタン,導線UI,再紹介導線を突出,LP/再紹介画面,全層,A/B,コピー/シェアのワンアクション,不要,不要
CMP-302,SNS共有ボタン,導線UI,SNSでシェア,再紹介/LP,全層,A/B,Twitter/LINEアイコン群,不要,不要
CMP-303,MagicLinkログイン導線,導線UI,メールログイン誘導,ログイン画面,ログイン,A/B,MagicLink送信UI,必要,不要
CMP-304,SMSログイン導線,導線UI,SMSログイン誘導,ログイン画面,ログイン,A/B,電話番号→コード入力,必要,不要
CMP-305,LINEログイン導線,導線UI,LINE IDログイン誘導,ログイン画面,ログイン,A/B,LINE SDK,必要,不要
CMP-306,戻るボタン,導線UI,前の画面へ戻る,各画面,全層,A/B,左上固定,不要,不要
CMP-307,ログイン後メニュー,導線UI,Bの継続利用導線,マイページ,ログイン,B,タブ or サイドメニュー,不要,不要
,,,,,,,,,
CMP-901,エラーページ,エラーUI,致命的エラー通知,すべて,全層,A/B,404/500表示＋復帰導線,不要,不要
CMP-902,バリデーションエラー表示,エラーUI,入力ミスの指摘,フォーム全般,全層,A/B,赤字テキスト＋アイコン,不要,不要
CMP-903,API失敗モーダル,エラーUI,APIエラー通知,申込/成果/特典API,全層,A/B,Try Again導線付き,不要,不要
CMP-904,Empty状態UI（成果なし）,エラーUI,成果0件時の案内,成果可視化画面,ログイン,A,軽い導線つき,不要,不要
CMP-905,Empty状態UI（履歴なし）,エラーUI,履歴が存在しない場合,利用履歴,ログイン,B,説明テキストつき,不要,不要